year,month,day,AWS-1,AWS-2,AWS-3,AWS-4,AWS-5,AWS-6
2008,1,1,31.52,30.2,30.53,29.93,30.5,30.38
2008,1,2,31.55,30.46,30.8,28.64,30.83,30.07
2008,1,3,31.19,30.49,28.52,30.32,29.24,31.17
2008,1,4,32.24,31,31.15,30.67,30.71,30.24
2008,1,5,32.08,31.69,30.42,31.91,30.4,31.46
2008,1,6,33.93,32.93,32.46,31.94,31.85,31.78
2008,1,7,30.77,30.17,30.82,30.96,30.53,28.31
2008,1,8,29.6,29.36,28.35,29.29,28.65,30.94
2008,1,9,29.73,31.29,30.93,30.18,30.02,30.9
2008,1,10,29.78,30.56,29.96,29.7,30.05,29.55
2008,1,11,27.51,27.95,28.13,26.71,27.47,28.57
2008,1,12,31.69,31.65,30.47,31.28,29.74,30.73
2008,1,13,32.32,31.86,31.45,31.58,31.26,31.37
2008,1,14,30.38,28.51,29.8,28.53,28.75,28.21
2008,1,15,25.84,27.39,30.1,28.14,29.69,26.36
2008,1,16,28.41,24.44,28.05,25.04,27.91,25.55
2008,1,17,28.9,28.44,26.96,29.75,27.87,29.5
2008,1,18,31.54,31.26,31.62,30.99,31.17,29.01
2008,1,19,29.55,29.59,30.28,29.05,29.74,30.23
2008,1,20,32.57,32.08,32.2,32.14,32.07,31.41
2008,1,21,31.29,30.51,30.7,30.51,30.09,30.11
2008,1,22,28.5,26.72,30.01,27.74,29.86,29.05
2008,1,23,29.69,30.2,30.65,29.94,30.27,30.62
2008,1,24,29.61,28.16,27.83,28.3,28.68,29.19
2008,1,25,26.99,27.15,28.57,28.32,29.25,27.14
2008,1,26,31.31,29.58,29.68,29.58,30.08,28.41
2008,1,27,26.01,25.82,27,27.14,27.71,25.6
2008,1,28,27.43,26.64,26.41,28.07,26.59,30.17
2008,1,29,28.42,27.28,28.62,27.59,29.48,27.86
2008,1,30,27.12,27.96,29.88,27.96,29.94,29.17
2008,1,31,24.62,26.69,25.05,27.56,26.64,30.15
2008,2,1,27.35,26.04,27.91,25.94,27.06,25.92
2008,2,2,27.43,25.91,29.17,27.39,27.89,27.17
2008,2,3,24.38,24.8,26.45,25.9,27.36,26.06
2008,2,4,25.33,27.19,26.6,26.34,27.55,25.42
2008,2,5,27.92,29.1,25.2,26.45,25.81,29.97
2008,2,6,25.14,27.03,27.13,26.88,26.74,27.53
2008,2,7,25.64,27.74,28.5,27.52,27.36,29.04
2008,2,8,32.6,32.4,32,32,32,31.95
2008,2,9,32.76,32.33,32.09,31.45,31.67,31.74
2008,2,10,31.85,30.86,31.19,31.13,31.03,30.64
2008,2,11,30.94,29.18,31.54,29.62,31.33,29.96
2008,2,12,32.69,31.92,32.43,32.06,32.27,31.45
2008,2,13,32.45,30.18,30.77,30.35,31.45,29.82
2008,2,14,31.91,31.74,31.34,31.07,31.13,32.12
2008,2,15,30.55,29.66,29.97,29.07,29.35,28.4
2008,2,16,27.55,28.55,30.64,30.02,30.17,28.57
2008,2,17,27.92,27.3,27.19,27.62,27.01,28.39
2008,2,18,30.25,25.74,28.82,27.3,29.33,28.35
2008,2,19,30.09,31.09,31.74,30.36,31.74,29.14
2008,2,20,30.54,26.03,29.94,29.67,29.63,25.31
2008,2,21,30.42,30.74,30.72,30.38,30.01,31.1
2008,2,22,31.45,31.68,31.37,31.3,30.28,31.52
2008,2,23,32,32.21,31.48,32.33,31.73,31.53
2008,2,24,31.06,31.44,31.78,30.82,31.5,31.56
2008,2,25,30.48,28.92,29.58,29.67,30.12,30.36
2008,2,26,27.7,28.73,29.62,29.78,30.02,29.97
2008,2,27,31.88,31.59,30.61,31.78,31.14,31.13
2008,2,28,26.78,29.88,29.47,30.14,29.87,29.26
2008,2,29,27.05,28.89,29.35,28.51,29.08,27.6
2008,3,1,25.49,26.34,25.87,26.19,26.43,25.58
2008,3,2,28.63,27.12,29,28.84,29.64,27.55
